DATE,OCCUPATION,JOB VACANCIES
2019-01,Specialist physicians [3111],0
2019-01,General practitioners and family physicians [3112],0
2019-01,Dentists [3113],0
2019-01,Veterinarians [3114],0
2019-01,"Optometrists, chiropractors and other health diagnosing and treating professionals [312]",0
2019-01,Optometrists [3121],0
2019-01,Chiropractors [3122],0
2019-01,Allied primary health practitioners [3124],0
2019-01,Other professional occupations in health diagnosing and treating [3125],0
2019-01,"Pharmacists, dietitians and nutritionists [313]",0
2019-01,Pharmacists [3131],10
2019-01,Dietitians and nutritionists [3132],0
2019-01,Therapy and assessment professionals [314],100
2019-01,Audiologists and speech-language pathologists [3141],15
2019-01,Physiotherapists [3142],0
2019-01,Occupational therapists [3143],0
2019-01,Other professional occupations in therapy and assessment [3144],0
2019-01,Technical occupations in health [32],865
2019-01,Medical technologists and technicians (except dental health) [321],265
2019-01,Medical laboratory technologists [3211],0
2019-01,Medical laboratory technicians and pathologists' assistants [3212],0
2019-01,Animal health technologists and veterinary technicians [3213],0
2019-01,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]",0
2019-01,Medical radiation technologists [3215],0
2019-01,Medical sonographers [3216],0
2019-01,"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]",0
2019-01,Other medical technologists and technicians (except dental health) [3219],80
2019-01,Technical occupations in dental health care [322],0
2019-01,Denturists [3221],0
2019-01,Dental hygienists and dental therapists [3222],0
2019-01,"Dental technologists, technicians and laboratory assistants [3223]",0
2019-01,Other technical occupations in health care [323],505
2019-01,Opticians [3231],0
2019-01,Practitioners of natural healing [3232],0
2019-01,Licensed practical nurses [3233],95
2019-01,Paramedical occupations [3234],0
2019-01,Massage therapists [3236],0
2019-01,Other technical occupations in therapy and assessment [3237],0
2019-01,Assisting occupations in support of health services [34],590
2019-01,Assisting occupations in support of health services [341],590
2019-01,Dental assistants [3411],0
2019-01,"Nurse aides, orderlies and patient service associates [3413]",320
2019-01,Other assisting occupations in support of health services [3414],135
2019-01,"Occupations in education, law and social, community and government services [4]",3360
2019-01,Professional occupations in education services [40],620
2019-01,University professors and post-secondary assistants [401],275
2019-01,University professors and lecturers [4011],250
2019-01,Post-secondary teaching and research assistants [4012],20
2019-01,College and other vocational instructors [402],160
2019-01,College and other vocational instructors [4021],160
2019-01,Secondary and elementary school teachers and educational counsellors [403],180
2019-01,Secondary school teachers [4031],0
2019-01,Elementary school and kindergarten teachers [4032],0
2019-01,Educational counsellors [4033],0
2019-01,"Professional occupations in law and social, community and government services [41]",625
2019-01,"Judges, lawyers and Quebec notaries [411]",85
2019-01,Judges [4111],0
2019-01,Lawyers and Quebec notaries [4112],85
2019-01,Social and community service professionals [415],250
2019-01,Psychologists [4151],0
2019-01,Social workers [4152],50
2019-01,"Family, marriage and other related counsellors [4153]",130
2019-01,Professional occupations in religion [4154],0
2019-01,Probation and parole officers and related occupations [4155],0
2019-01,Employment counsellors [4156],20
2019-01,"Policy and program researchers, consultants and officers [416]",290
2019-01,"Natural and applied science policy researchers, consultants and program officers [4161]",0
2019-01,Economists and economic policy researchers and analysts [4162],10
2019-01,Business development officers and marketing researchers and consultants [4163],90
2019-01,"Social policy researchers, consultants and program officers [4164]",25
2019-01,"Health policy researchers, consultants and program officers [4165]",30
2019-01,"Education policy researchers, consultants and program officers [4166]",20
2019-01,"Recreation, sports and fitness policy researchers, consultants and program officers [4167]",25
2019-01,Program officers unique to government [4168],0
2019-01,"Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]",0
2019-01,"Paraprofessional occupations in legal, social, community and education services [42]",1645
2019-01,"Paraprofessional occupations in legal, social, community and education services [421]",1645
2019-01,Paralegal and related occupations [4211],30
2019-01,Social and community service workers [4212],990
2019-01,Early childhood educators and assistants [4214],570
2019-01,Instructors of persons with disabilities [4215],15
2019-01,Other instructors [4216],0
2019-01,Other religious occupations [4217],0
2019-01,Occupations in front-line public protection services [43],0
2019-01,Occupations in front-line public protection services [431],0
2019-01,Police officers (except commissioned) [4311],10
2019-01,Firefighters [4312],0
2019-01,Non-commissioned ranks of the Canadian Armed Forces [4313],0
2019-01,"Care providers and educational, legal and public protection support occupations [44]",420
2019-01,Home care providers and educational support occupations [441],395
2019-01,Home child care providers [4411],0
2019-01,"Home support workers, housekeepers and related occupations [4412]",290
2019-01,Elementary and secondary school teacher assistants [4413],100
2019-01,Legal and public protection support occupations [442],25
2019-01,Sheriffs and bailiffs [4421],0
2019-01,Correctional service officers [4422],0
2019-01,"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]",0
2019-01,"Occupations in art, culture, recreation and sport [5]",1065
2019-01,Professional occupations in art and culture [51],130
2019-01,"Librarians, archivists, conservators and curators [511]",30
2019-01,Librarians [5111],0
2019-01,Conservators and curators [5112],0
2019-01,Archivists [5113],0
2019-01,"Writing, translating and related communications professionals [512]",60
2019-01,Authors and writers [5121],20
2019-01,Editors [5122],0
2019-01,Journalists [5123],0
2019-01,"Translators, terminologists and interpreters [5125]",0
2019-01,Creative and performing artists [513],40
2019-01,"Producers, directors, choreographers and related occupations [5131]",5
2019-01,"Conductors, composers and arrangers [5132]",0
2019-01,Musicians and singers [5133],0
2019-01,Dancers [5134],0
2019-01,Actors and comedians [5135],0
2019-01,"Painters, sculptors and other visual artists [5136]",0
2019-01,"Technical occupations in art, culture, recreation and sport [52]",935
2019-01,"Technical occupations in libraries, public archives, museums and art galleries [521]",0
2019-01,Library and public archive technicians [5211],0
2019-01,Technical occupations related to museums and art galleries [5212],0
2019-01,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]",45
2019-01,Photographers [5221],0
2019-01,Film and video camera operators [5222],0
2019-01,Graphic arts technicians [5223],0
2019-01,Broadcast technicians [5224],0
2019-01,Audio and video recording technicians [5225],0
2019-01,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]",0
2019-01,"Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]",0
2019-01,"Announcers and other performers, not elsewhere classified (n.e.c.) [523]",0
2019-01,Announcers and other broadcasters [5231],0
2019-01,"Other performers, not elsewhere classified (n.e.c.) [5232]",0
2019-01,Creative designers and craftspersons [524],150
2019-01,Graphic designers and illustrators [5241],0
2019-01,Interior designers and interior decorators [5242],0
2019-01,"Theatre, fashion, exhibit and other creative designers [5243]",0
2019-01,Artisans and craftspersons [5244],0
2019-01,"Patternmakers - textile, leather and fur products [5245]",0
2019-01,"Athletes, coaches, referees and related occupations [525]",720
2019-01,Athletes [5251],0
2019-01,Coaches [5252],45
2019-01,Sports officials and referees [5253],0
2019-01,"Program leaders and instructors in recreation, sport and fitness [5254]",680
2019-01,Sales and service occupations [6],15465
2019-01,Retail sales supervisors and specialized sales occupations [62],1080
2019-01,Retail sales supervisors [621],290
2019-01,Retail sales supervisors [6211],290
2019-01,Technical sales specialists in wholesale trade and retail and wholesale buyers [622],260
2019-01,Technical sales specialists - wholesale trade [6221],235
2019-01,Retail and wholesale buyers [6222],25
2019-01,"Insurance, real estate and financial sales occupations [623]",530
2019-01,Insurance agents and brokers [6231],280
2019-01,Real estate agents and salespersons [6232],0
2019-01,Financial sales representatives [6235],195
2019-01,Service supervisors and specialized service occupations [63],2860
2019-01,Service supervisors [631],1140
2019-01,Food service supervisors [6311],940
2019-01,Executive housekeepers [6312],0
2019-01,"Accommodation, travel, tourism and related services supervisors [6313]",0
2019-01,Customer and information services supervisors [6314],0
2019-01,Cleaning supervisors [6315],65
2019-01,Other services supervisors [6316],20
2019-01,Chefs and cooks [632],1495
2019-01,Chefs [6321],0
2019-01,Cooks [6322],1270
2019-01,Butchers and bakers [633],30
2019-01,"Butchers, meat cutters and fishmongers - retail and wholesale [6331]",0
2019-01,Bakers [6332],0
2019-01,Specialized occupations in personal and customer services [634],0
2019-01,Hairstylists and barbers [6341],0
2019-01,"Tailors, dressmakers, furriers and milliners [6342]",0
2019-01,Shoe repairers and shoemakers [6343],0
2019-01,"Jewellers, jewellery and watch repairers and related occupations [6344]",0
2019-01,Upholsterers [6345],0
2019-01,Funeral directors and embalmers [6346],0
2019-01,Sales representatives and salespersons - wholesale and retail trade [64],2880
2019-01,Sales and account representatives - wholesale trade (non-technical) [641],695
2019-01,Sales and account representatives - wholesale trade (non-technical) [6411],695
2019-01,Retail salespersons [642],2185
2019-01,Retail salespersons [6421],2185
2019-01,Service representatives and other customer and personal services occupations [65],3115
2019-01,Occupations in food and beverage service [651],1080
2019-01,Maîtres d'hôtel and hosts/hostesses [6511],0
2019-01,Bartenders [6512],195
2019-01,Food and beverage servers [6513],815
2019-01,Occupations in travel and accommodation [652],0
2019-01,Travel counsellors [6521],0
2019-01,Pursers and flight attendants [6522],0
2019-01,Airline ticket and service agents [6523],0
2019-01,"Ground and water transport ticket agents, cargo service representatives and related clerks [6524]",0
2019-01,Hotel front desk clerks [6525],0
2019-01,Tourism and amusement services occupations [653],35
2019-01,Tour and travel guides [6531],0
2019-01,Outdoor sport and recreational guides [6532],0
2019-01,Casino occupations [6533],0
2019-01,Security guards and related security service occupations [654],670
2019-01,Security guards and related security service occupations [6541],670
2019-01,Customer and information services representatives [655],710
2019-01,Customer services representatives - financial institutions [6551],135
2019-01,Other customer and information services representatives [6552],575
2019-01,Other occupations in personal service [656],0
2019-01,"Image, social and other personal consultants [6561]",0
2019-01,"Estheticians, electrologists and related occupations [6562]",0
2019-01,Pet groomers and animal care workers [6563],25
2019-01,Other personal service occupations [6564],0
2019-01,Sales support occupations [66],1580
2019-01,Cashiers [661],575
2019-01,Cashiers [6611],575
2019-01,Other sales support and related occupations [662],1005
2019-01,Service station attendants [6621],0
2019-01,"Store shelf stockers, clerks and order fillers [6622]",925
2019-01,Other sales related occupations [6623],0
2019-01,"Service support and other service occupations, not elsewhere classified (n.e.c.) [67]",3950
2019-01,"Food counter attendants, kitchen helpers and related support occupations [671]",2465
2019-01,"Food counter attendants, kitchen helpers and related support occupations [6711]",2465
2019-01,"Support occupations in accommodation, travel and amusement services [672]",210
2019-01,"Support occupations in accommodation, travel and facilities set-up services [6721]",0
2019-01,"Operators and attendants in amusement, recreation and sport [6722]",170
2019-01,Cleaners [673],1020
2019-01,Light duty cleaners [6731],770
2019-01,Specialized cleaners [6732],0
2019-01,"Janitors, caretakers and building superintendents [6733]",160
2019-01,"Other service support and related occupations, not elsewhere classified (n.e.c.) [674]",250
2019-01,"Dry cleaning, laundry and related occupations [6741]",0
2019-01,"Other service support occupations, not elsewhere classified (n.e.c.) [6742]",155
2019-01,"Trades, transport and equipment operators and related occupations [7]",10250
2019-01,"Industrial, electrical and construction trades [72]",2525
2019-01,"Contractors and supervisors, industrial, electrical and construction trades and related workers [720]",0
2019-01,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]",0
2019-01,"Contractors and supervisors, electrical trades and telecommunications occupations [7202]",0
2019-01,"Contractors and supervisors, pipefitting trades [7203]",0
2019-01,"Contractors and supervisors, carpentry trades [7204]",0
2019-01,"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]",0
2019-01,"Machining, metal forming, shaping and erecting trades [723]",785
2019-01,Machinists and machining and tooling inspectors [7231],260
2019-01,Tool and die makers [7232],0
2019-01,Sheet metal workers [7233],0
2019-01,Boilermakers [7234],0
2019-01,Structural metal and platework fabricators and fitters [7235],0
2019-01,Ironworkers [7236],0
2019-01,Welders and related machine operators [7237],360
2019-01,Electrical trades and electrical power line and telecommunications workers [724],520
2019-01,Electricians (except industrial and power system) [7241],240
2019-01,Industrial electricians [7242],70
2019-01,Power system electricians [7243],0
2019-01,Electrical power line and cable workers [7244],0
2019-01,Telecommunications line and cable workers [7245],0
2019-01,Telecommunications installation and repair workers [7246],0
2019-01,Cable television service and maintenance technicians [7247],0
2019-01,"Plumbers, pipefitters and gas fitters [725]",135
2019-01,Plumbers [7251],0
2019-01,"Steamfitters, pipefitters and sprinkler system installers [7252]",80
2019-01,Gas fitters [7253],0
2019-01,Carpenters and cabinetmakers [727],250
2019-01,Carpenters [7271],180
2019-01,Cabinetmakers [7272],0
2019-01,Masonry and plastering trades [728],0
2019-01,Bricklayers [7281],0
2019-01,Concrete finishers [7282],0
2019-01,Tilesetters [7283],0
2019-01,"Plasterers, drywall installers and finishers and lathers [7284]",0
2019-01,Other construction trades [729],390
2019-01,Roofers and shinglers [7291],0
2019-01,Glaziers [7292],0
2019-01,Insulators [7293],0
2019-01,Painters and decorators (except interior decorators) [7294],0
2019-01,Floor covering installers [7295],0
2019-01,Maintenance and equipment operation trades [73],1905
2019-01,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]",210
2019-01,"Contractors and supervisors, mechanic trades [7301]",0
2019-01,"Contractors and supervisors, heavy equipment operator crews [7302]",100
2019-01,"Supervisors, printing and related occupations [7303]",0
2019-01,"Supervisors, railway transport operations [7304]",0
2019-01,"Supervisors, motor transport and other ground transit operators [7305]",0
2019-01,Machinery and transportation equipment mechanics (except motor vehicles) [731],905
2019-01,Construction millwrights and industrial mechanics [7311],285
2019-01,Heavy-duty equipment mechanics [7312],455
2019-01,"Heating, refrigeration and air conditioning mechanics [7313]",0
2019-01,Railway carmen/women [7314],0
2019-01,Aircraft mechanics and aircraft inspectors [7315],0
2019-01,Machine fitters [7316],0
2019-01,Elevator constructors and mechanics [7318],0
2019-01,Automotive service technicians [732],520
2019-01,"Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]",335
2019-01,Motor vehicle body repairers [7322],0
2019-01,Other mechanics and related repairers [733],0
2019-01,Oil and solid fuel heating mechanics [7331],0
2019-01,Appliance servicers and repairers [7332],0
2019-01,Electrical mechanics [7333],0
2019-01,"Motorcycle, all-terrain vehicle and other related mechanics [7334]",0
2019-01,Other small engine and small equipment repairers [7335],0
2019-01,Train crew operating occupations [736],0
2019-01,Railway and yard locomotive engineers [7361],0
2019-01,Railway conductors and brakemen/women [7362],0
2019-01,"Crane operators, drillers and blasters [737]",0
2019-01,Crane operators [7371],0
2019-01,"Drillers and blasters - surface mining, quarrying and construction [7372]",0
2019-01,Water well drillers [7373],0
2019-01,"Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]",0
2019-01,Printing press operators [7381],0
2019-01,"Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]",0
2019-01,"Other installers, repairers and servicers and material handlers [74]",710
2019-01,"Other installers, repairers and servicers [744]",0
2019-01,Residential and commercial installers and servicers [7441],0
2019-01,Waterworks and gas maintenance workers [7442],0
2019-01,Pest controllers and fumigators [7444],0
2019-01,Other repairers and servicers [7445],0
2019-01,Longshore workers and material handlers [745],340
2019-01,Longshore workers [7451],0
2019-01,Material handlers [7452],340
2019-01,Transport and heavy equipment operation and related maintenance occupations [75],3685
2019-01,Motor vehicle and transit drivers [751],2960
2019-01,Transport truck drivers [7511],2545
2019-01,"Bus drivers, subway operators and other transit operators [7512]",280
2019-01,Taxi and limousine drivers and chauffeurs [7513],0
2019-01,Delivery and courier service drivers [7514],125
2019-01,Heavy equipment operators [752],475
2019-01,Heavy equipment operators (except crane) [7521],305
2019-01,Public works maintenance equipment operators and related workers [7522],170
2019-01,Other transport equipment operators and related maintenance workers [753],245
2019-01,Railway yard and track maintenance workers [7531],0
2019-01,Water transport deck and engine room crew [7532],0
2019-01,Boat and cable ferry operators and related occupations [7533],0
2019-01,Air transport ramp attendants [7534],80
2019-01,Other automotive mechanical installers and servicers [7535],0
2019-01,"Trades helpers, construction labourers and related occupations [76]",1420
2019-01,Trades helpers and labourers [761],1105
2019-01,Construction trades helpers and labourers [7611],1010
2019-01,Other trades helpers and labourers [7612],0
2019-01,"Public works and other labourers, not elsewhere classified (n.e.c.) [762]",310
2019-01,Public works and maintenance labourers [7621],150
2019-01,Railway and motor transport labourers [7622],165
2019-01,"Natural resources, agriculture and related production occupations [8]",2460
2019-01,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",520
2019-01,"Supervisors, logging and forestry [821]",0
2019-01,"Supervisors, logging and forestry [8211]",0
2019-01,"Contractors and supervisors, mining, oil and gas [822]",115
2019-01,"Supervisors, mining and quarrying [8221]",0
2019-01,"Contractors and supervisors, oil and gas drilling and services [8222]",0
2019-01,"Underground miners, oil and gas drillers and related occupations [823]",0
2019-01,Underground production and development miners [8231],0
2019-01,"Oil and gas well drillers, servicers, testers and related workers [8232]",65
2019-01,Logging machinery operators [824],0
2019-01,Logging machinery operators [8241],0
2019-01,"Contractors and supervisors, agriculture, horticulture and related operations and services [825]",210
2019-01,"Agricultural service contractors, farm supervisors and specialized livestock workers [8252]",0
2019-01,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255]",0
2019-01,Fishing vessel masters and fishermen/women [826],0
2019-01,Fishing masters and officers [8261],0
2019-01,Fishermen/women [8262],0
2019-01,"Workers in natural resources, agriculture and related production [84]",1045
2019-01,Mine service workers and operators in oil and gas drilling [841],80
2019-01,Underground mine service and support workers [8411],0
2019-01,Oil and gas well drilling and related workers and services operators [8412],50
2019-01,Logging and forestry workers [842],0
2019-01,Chain saw and skidder operators [8421],0
2019-01,Silviculture and forestry workers [8422],0
2019-01,Agriculture and horticulture workers [843],950
2019-01,General farm workers [8431],795
2019-01,Nursery and greenhouse workers [8432],155
2019-01,Other workers in fishing and trapping and hunting occupations [844],0
2019-01,Fishing vessel deckhands [8441],0
2019-01,Trappers and hunters [8442],0
2019-01,"Harvesting, landscaping and natural resources labourers [86]",895
2019-01,"Harvesting, landscaping and natural resources labourers [861]",895
2019-01,Harvesting labourers [8611],0
2019-01,Landscaping and grounds maintenance labourers [8612],670
2019-01,Aquaculture and marine harvest labourers [8613],0
2019-01,Mine labourers [8614],0
2019-01,"Oil and gas drilling, servicing and related labourers [8615]",175
2019-01,Logging and forestry labourers [8616],0
2019-01,Occupations in manufacturing and utilities [9],1315
2019-01,"Processing, manufacturing and utilities supervisors and central control operators [92]",235
2019-01,"Supervisors, processing and manufacturing occupations [921]",60
2019-01,"Supervisors, mineral and metal processing [9211]",0
2019-01,"Supervisors, petroleum, gas and chemical processing and utilities [9212]",10
2019-01,"Supervisors, food and beverage processing [9213]",0
2019-01,"Supervisors, plastic and rubber products manufacturing [9214]",0
2019-01,"Supervisors, forest products processing [9215]",0
2019-01,"Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217]",0
2019-01,"Supervisors, assembly and fabrication [922]",0
2019-01,"Supervisors, motor vehicle assembling [9221]",0
2019-01,"Supervisors, electronics manufacturing [9222]",0
2019-01,"Supervisors, electrical products manufacturing [9223]",0
2019-01,"Supervisors, furniture and fixtures manufacturing [9224]",0
2019-01,"Supervisors, other mechanical and metal products manufacturing [9226]",0
2019-01,"Supervisors, other products manufacturing and assembly [9227]",0
2019-01,Central control and process operators in processing and manufacturing [923],55
2019-01,"Central control and process operators, mineral and metal processing [9231]",0
2019-01,"Central control and process operators, petroleum, gas and chemical processing [9232]",55
2019-01,"Pulping, papermaking and coating control operators [9235]",0
2019-01,Utilities equipment operators and controllers [924],65
2019-01,Power engineers and power systems operators [9241],35
2019-01,Water and waste treatment plant operators [9243],0
2019-01,Processing and manufacturing machine operators and related production workers [94],500
2019-01,Machine operators and related workers in mineral and metal products processing and manufacturing [941],0
2019-01,"Machine operators, mineral and metal processing [9411]",0
2019-01,Foundry workers [9412],0
2019-01,Glass forming and finishing machine operators and glass cutters [9413],0
2019-01,"Concrete, clay and stone forming operators [9414]",0
2019-01,"Inspectors and testers, mineral and metal processing [9415]",0
2019-01,Metalworking and forging machine operators [9416],0
2019-01,Machining tool operators [9417],0
2019-01,Other metal products machine operators [9418],0
2019-01,"Machine operators and related workers in chemical, plastic and rubber processing [942]",55
2019-01,Chemical plant machine operators [9421],25
2019-01,Plastics processing machine operators [9422],0
2019-01,Rubber processing machine operators and related workers [9423],0
2019-01,Machine operators and related workers in pulp and paper production and wood processing and manufacturing [943],0
2019-01,Sawmill machine operators [9431],0
2019-01,Pulp mill machine operators [9432],0
2019-01,Papermaking and finishing machine operators [9433],0
2019-01,Other wood processing machine operators [9434],0
2019-01,Paper converting machine operators [9435],0
2019-01,Lumber graders and other wood processing inspectors and graders [9436],0
2019-01,Woodworking machine operators [9437],0
2019-01,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing [944]",0
2019-01,"Textile fibre and yarn, hide and pelt processing machine operators and workers [9441]",0
2019-01,"Weavers, knitters and other fabric making occupations [9442]",0
2019-01,"Fabric, fur and leather cutters [9445]",0
2019-01,Industrial sewing machine operators [9446],0
2019-01,"Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447]",0
2019-01,"Machine operators and related workers in food, beverage and associated products processing [946]",305
2019-01,"Process control and machine operators, food and beverage processing [9461]",0
2019-01,"Industrial butchers and meat cutters, poultry preparers and related workers [9462]",270
2019-01,Fish and seafood plant workers [9463],0
2019-01,"Testers and graders, food and beverage processing [9465]",0
2019-01,Printing equipment operators and related occupations [947],0
2019-01,Plateless printing equipment operators [9471],0
2019-01,"Camera, platemaking and other prepress occupations [9472]",0
2019-01,Binding and finishing machine operators [9473],0
2019-01,Photographic and film processors [9474],0
2019-01,Assemblers in manufacturing [95],170
2019-01,"Mechanical, electrical and electronics assemblers [952]",60
2019-01,Aircraft assemblers and aircraft assembly inspectors [9521],0
2019-01,"Motor vehicle assemblers, inspectors and testers [9522]",0
2019-01,"Electronics assemblers, fabricators, inspectors and testers [9523]",0
2019-01,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing [9524]",0
2019-01,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525]",0
2019-01,Mechanical assemblers and inspectors [9526],0
2019-01,"Machine operators and inspectors, electrical apparatus manufacturing [9527]",0
2019-01,Other assembly and related occupations [953],0
2019-01,Boat assemblers and inspectors [9531],0
2019-01,Furniture and fixture assemblers and inspectors [9532],0
2019-01,Other wood products assemblers and inspectors [9533],0
2019-01,Furniture finishers and refinishers [9534],0
2019-01,"Plastic products assemblers, finishers and inspectors [9535]",0
2019-01,"Industrial painters, coaters and metal finishing process operators [9536]",0
2019-01,"Other products assemblers, finishers and inspectors [9537]",0
2019-01,"Labourers in processing, manufacturing and utilities [96]",410
2019-01,"Labourers in processing, manufacturing and utilities [961]",410
2019-01,Labourers in mineral and metal processing [9611],0
2019-01,Labourers in metal fabrication [9612],60
2019-01,Labourers in chemical products processing and utilities [9613],0
2019-01,"Labourers in wood, pulp and paper processing [9614]",0
2019-01,Labourers in rubber and plastic products manufacturing [9615],0
2019-01,Labourers in textile processing [9616],0
2019-01,Labourers in food and beverage processing [9617],90
2019-01,Labourers in fish and seafood processing [9618],0
2019-01,"Other labourers in processing, manufacturing and utilities [9619]",0
2019-01,Unclassified occupations,0
2019-01,"Total, all occupations",101945
2019-01,Management occupations [0],5880
2019-01,Senior management occupations [00],290
2019-01,Legislators and senior management [001],290
2019-01,Legislators [0011],0
2019-01,Senior government managers and officials [0012],10
2019-01,"Senior managers - financial, communications and other business services [0013]",0
2019-01,"Senior managers - health, education, social and community services and membership organizations [0014]",0
2019-01,"Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]",0
2019-01,"Senior managers - construction, transportation, production and utilities [0016]",40
2019-01,Specialized middle management occupations [01-05],2020
2019-01,Administrative services managers [011],615
2019-01,Financial managers [0111],225
2019-01,Human resources managers [0112],220
2019-01,Purchasing managers [0113],0
2019-01,Other administrative services managers [0114],0
2019-01,Managers in financial and business services [012],625
2019-01,"Insurance, real estate and financial brokerage managers [0121]",155
2019-01,"Banking, credit and other investment managers [0122]",120
2019-01,"Advertising, marketing and public relations managers [0124]",230
2019-01,Other business services managers [0125],120
2019-01,Managers in communication (except broadcasting) [013],0
2019-01,Telecommunication carriers managers [0131],0
2019-01,Postal and courier services managers [0132],0
2019-01,"Managers in engineering, architecture, science and information systems [021]",255
2019-01,Engineering managers [0211],0
2019-01,Architecture and science managers [0212],40
2019-01,Computer and information systems managers [0213],140
2019-01,Managers in health care [031],65
2019-01,Managers in health care [0311],65
2019-01,Managers in public administration [041],20
2019-01,Government managers - health and social policy development and program administration [0411],0
2019-01,"Government managers - economic analysis, policy development and program administration [0412]",0
2019-01,Government managers - education policy development and program administration [0413],0
2019-01,Other managers in public administration [0414],15
2019-01,Managers in education and social and community services [042],335
2019-01,Administrators - post-secondary education and vocational training [0421],75
2019-01,School principals and administrators of elementary and secondary education [0422],15
2019-01,"Managers in social, community and correctional services [0423]",0
2019-01,Managers in public protection services [043],0
2019-01,Commissioned police officers [0431],0
2019-01,Fire chiefs and senior firefighting officers [0432],0
2019-01,Commissioned officers of the Canadian Armed Forces [0433],0
2019-01,"Managers in art, culture, recreation and sport [051]",50
2019-01,"Library, archive, museum and art gallery managers [0511]",20
2019-01,"Managers - publishing, motion pictures, broadcasting and performing arts [0512]",0
2019-01,"Recreation, sports and fitness program and service directors [0513]",0
2019-01,Middle management occupations in retail and wholesale trade and customer services [06],2405
2019-01,Corporate sales managers [060],125
2019-01,Corporate sales managers [0601],125
2019-01,Retail and wholesale trade managers [062],1185
2019-01,Retail and wholesale trade managers [0621],1185
2019-01,Managers in food service and accommodation [063],1020
2019-01,Restaurant and food service managers [0631],945
2019-01,Accommodation service managers [0632],0
2019-01,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [065]",0
2019-01,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651]",0
2019-01,"Middle management occupations in trades, transportation, production and utilities [07-09]",1170
2019-01,Managers in construction and facility operation and maintenance [071],820
2019-01,Construction managers [0711],625
2019-01,Home building and renovation managers [0712],0
2019-01,Facility operation and maintenance managers [0714],190
2019-01,Managers in transportation [073],125
2019-01,Managers in transportation [0731],125
2019-01,Managers in natural resources production and fishing [081],35
2019-01,Managers in natural resources production and fishing [0811],35
2019-01,"Managers in agriculture, horticulture and aquaculture [082]",0
2019-01,Managers in agriculture [0821],0
2019-01,Managers in horticulture [0822],0
2019-01,Managers in aquaculture [0823],0
2019-01,Managers in manufacturing and utilities [091],155
2019-01,Manufacturing managers [0911],0
2019-01,Utilities managers [0912],15
2019-01,"Business, finance and administration occupations [1]",9585
2019-01,Professional occupations in business and finance [11],2725
2019-01,"Auditors, accountants and investment professionals [111]",1455
2019-01,Financial auditors and accountants [1111],785
2019-01,Financial and investment analysts [1112],275
2019-01,"Securities agents, investment dealers and brokers [1113]",40
2019-01,Other financial officers [1114],355
2019-01,Human resources and business service professionals [112],1270
2019-01,Human resources professionals [1121],180
2019-01,Professional occupations in business management consulting [1122],215
2019-01,"Professional occupations in advertising, marketing and public relations [1123]",875
2019-01,Administrative and financial supervisors and administrative occupations [12],2335
2019-01,Administrative services supervisors [121],380
2019-01,"Supervisors, general office and administrative support workers [1211]",30
2019-01,"Supervisors, finance and insurance office workers [1212]",55
2019-01,"Supervisors, library, correspondence and related information workers [1213]",0
2019-01,"Supervisors, mail and message distribution occupations [1214]",0
2019-01,"Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215]",295
2019-01,Administrative and regulatory occupations [122],1095
2019-01,Administrative officers [1221],665
2019-01,Executive assistants [1222],75
2019-01,Human resources and recruitment officers [1223],165
2019-01,Property administrators [1224],0
2019-01,Purchasing agents and officers [1225],115
2019-01,Conference and event planners [1226],40
2019-01,Court officers and justices of the peace [1227],0
2019-01,"Employment insurance, immigration, border services and revenue officers [1228]",0
2019-01,"Office administrative assistants - general, legal and medical [124]",830
2019-01,Administrative assistants [1241],595
2019-01,Legal administrative assistants [1242],160
2019-01,Medical administrative assistants [1243],0
2019-01,"Court reporters, transcriptionists, records management technicians and statistical officers [125]",30
2019-01,"Court reporters, medical transcriptionists and related occupations [1251]",10
2019-01,Health information management occupations [1252],0
2019-01,Records management technicians [1253],0
