DATE,OCCUPATION,JOB VACANCIES
2019-01,Mail and message distribution occupations [151],1190
2019-01,"Mail, postal and related workers [1511]",830
2019-01,Letter carriers [1512],0
2019-01,"Couriers, messengers and door-to-door distributors [1513]",0
2019-01,"Supply chain logistics, tracking and scheduling co-ordination occupations [152]",5800
2019-01,Shippers and receivers [1521],2270
2019-01,Storekeepers and partspersons [1522],1145
2019-01,Production logistics co-ordinators [1523],510
2019-01,Purchasing and inventory control workers [1524],655
2019-01,Dispatchers [1525],1095
2019-01,Transportation route and crew schedulers [1526],125
2019-01,Natural and applied sciences and related occupations [2],44370
2019-01,Professional occupations in natural and applied sciences [21],26030
2019-01,Physical science professionals [211],485
2019-01,Physicists and astronomers [2111],0
2019-01,Chemists [2112],295
2019-01,Geoscientists and oceanographers [2113],110
2019-01,Meteorologists and climatologists [2114],0
2019-01,Other professional occupations in physical sciences [2115],30
2019-01,Life science professionals [212],485
2019-01,Biologists and related scientists [2121],365
2019-01,Forestry professionals [2122],40
2019-01,"Agricultural representatives, consultants and specialists [2123]",0
2019-01,"Civil, mechanical, electrical and chemical engineers [213]",4115
2019-01,Civil engineers [2131],1655
2019-01,Mechanical engineers [2132],1085
2019-01,Electrical and electronics engineers [2133],1230
2019-01,Chemical engineers [2134],140
2019-01,Other engineers [214],2780
2019-01,Industrial and manufacturing engineers [2141],965
2019-01,Metallurgical and materials engineers [2142],0
2019-01,Mining engineers [2143],0
2019-01,Geological engineers [2144],190
2019-01,Petroleum engineers [2145],30
2019-01,Aerospace engineers [2146],0
2019-01,Computer engineers (except software engineers and designers) [2147],610
2019-01,"Other professional engineers, not elsewhere classified (n.e.c.) [2148]",455
2019-01,"Architects, urban planners and land surveyors [215]",820
2019-01,Architects [2151],370
2019-01,Landscape architects [2152],0
2019-01,Urban and land use planners [2153],225
2019-01,Land surveyors [2154],0
2019-01,"Mathematicians, statisticians and actuaries [216]",410
2019-01,"Mathematicians, statisticians and actuaries [2161]",410
2019-01,Computer and information systems professionals [217],16935
2019-01,Information systems analysts and consultants [2171],5515
2019-01,Database analysts and data administrators [2172],960
2019-01,Software engineers and designers [2173],3080
2019-01,Computer programmers and interactive media developers [2174],6375
2019-01,Web designers and developers [2175],1010
2019-01,Technical occupations related to natural and applied sciences [22],18340
2019-01,Technical occupations in physical sciences [221],1260
2019-01,Chemical technologists and technicians [2211],890
2019-01,Geological and mineral technologists and technicians [2212],370
2019-01,Technical occupations in life sciences [222],1685
2019-01,Biological technologists and technicians [2221],345
2019-01,Agricultural and fish products inspectors [2222],0
2019-01,Forestry technologists and technicians [2223],105
2019-01,Conservation and fishery officers [2224],0
2019-01,Landscape and horticulture technicians and specialists [2225],1150
2019-01,"Technical occupations in civil, mechanical and industrial engineering [223]",4105
2019-01,Civil engineering technologists and technicians [2231],1270
2019-01,Mechanical engineering technologists and technicians [2232],950
2019-01,Industrial engineering and manufacturing technologists and technicians [2233],1075
2019-01,Construction estimators [2234],810
2019-01,Technical occupations in electronics and electrical engineering [224],2360
2019-01,Electrical and electronics engineering technologists and technicians [2241],865
2019-01,Electronic service technicians (household and business equipment) [2242],1100
2019-01,Industrial instrument technicians and mechanics [2243],255
2019-01,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]",140
2019-01,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]",1970
2019-01,Architectural technologists and technicians [2251],420
2019-01,Industrial designers [2252],310
2019-01,Drafting technologists and technicians [2253],825
2019-01,Land survey technologists and technicians [2254],155
2019-01,Technical occupations in geomatics and meteorology [2255],255
2019-01,Other technical inspectors and regulatory officers [226],1400
2019-01,Non-destructive testers and inspection technicians [2261],160
2019-01,Engineering inspectors and regulatory officers [2262],0
2019-01,Inspectors in public and environmental health and occupational health and safety [2263],685
2019-01,Construction inspectors [2264],330
2019-01,Transportation officers and controllers [227],555
2019-01,"Air pilots, flight engineers and flying instructors [2271]",415
2019-01,Air traffic controllers and related occupations [2272],0
2019-01,"Deck officers, water transport [2273]",50
2019-01,"Engineer officers, water transport [2274]",35
2019-01,Railway traffic controllers and marine traffic regulators [2275],0
2019-01,Technical occupations in computer and information systems [228],5000
2019-01,Computer network technicians [2281],1105
2019-01,User support technicians [2282],3085
2019-01,Information systems testing technicians [2283],805
2019-01,Health occupations [3],37665
2019-01,Professional occupations in nursing [30],10595
2019-01,Professional occupations in nursing [301],10595
2019-01,Nursing co-ordinators and supervisors [3011],410
